Starting Simulation...
num_nodes is set 3
channel.cc:sendUp - Calc highestAntennaZ_ and distCST_
highestAntennaZ_ = 1.5,  distCST_ = 550.0
speed is 2343.360088, pass dst 2
speed is 2343.283799, pass dst 2
speed is 2343.175608, pass dst 2
speed is 2343.167035, pass dst 2
speed is 2343.058679, pass dst 2
speed is 2342.914957, pass dst 2
speed is 2342.808008, pass dst 2
speed is 2342.650558, pass dst 2
speed is 2342.640373, pass dst 2
speed is 2342.606782, pass dst 2
speed is 2342.602295, pass dst 2
speed is 2342.567447, pass dst 2
speed is 2342.543634, pass dst 2
speed is 2342.501178, pass dst 2
speed is 2342.494574, pass dst 2
speed is 2342.459866, pass dst 2
speed is 2342.456915, pass dst 2
speed is 2342.454468, pass dst 2
speed is 2342.428158, pass dst 2
speed is 2342.426325, pass dst 2
speed is 2342.406241, pass dst 2
speed is 2342.403869, pass dst 2
speed is 2342.397122, pass dst 2
speed is 2342.394953, pass dst 2
speed is 2342.390923, pass dst 2
speed is 2342.390847, pass dst 2
speed is 2342.392012, pass dst 2
speed is 2342.397107, pass dst 2
speed is 2342.397933, pass dst 2
speed is 2342.405036, pass dst 2
speed is 2342.412813, pass dst 2
speed is 2342.415940, pass dst 2
speed is 2342.428272, pass dst 2
speed is 2342.442991, pass dst 2
speed is 2342.445254, pass dst 2
speed is 2342.476071, pass dst 2
speed is 2342.533718, pass dst 2
speed is 2342.537596, pass dst 2
speed is 2342.549348, pass dst 2
speed is 2342.574000, pass dst 2
speed is 2342.578261, pass dst 2
speed is 2342.611197, pass dst 2
speed is 2342.639620, pass dst 2
speed is 2342.701961, pass dst 2
speed is 2342.707616, pass dst 2
speed is 2342.713542, pass dst 2
speed is 2342.754334, pass dst 2
speed is 2342.812558, pass dst 2
speed is 2342.833156, pass dst 2
speed is 2342.888002, pass dst 2
speed is 2342.945765, pass dst 2
speed is 2342.965687, pass dst 2
speed is 2343.104534, pass dst 2
speed is 2343.154569, pass dst 2
speed is 2343.186973, pass dst 2
speed is 2343.196872, pass dst 2
speed is 2343.228731, pass dst 2
speed is 2343.257393, pass dst 2
speed is 2343.333415, pass dst 2
speed is 2343.502005, pass dst 2
speed is 2343.512770, pass dst 2
speed is 2343.652420, pass dst 2
speed is 2343.664325, pass dst 2
speed is 2343.742686, pass dst 2
speed is 2343.755234, pass dst 2
speed is 2343.767046, pass dst 2
speed is 2343.981996, pass dst 2
speed is 2344.057275, pass dst 2
speed is 2344.069699, pass dst 2
speed is 2344.096074, pass dst 2
speed is 2344.254280, pass dst 2
speed is 2344.350042, pass dst 2
speed is 2344.433337, pass dst 2
speed is 2344.618583, pass dst 2
speed is 2344.633087, pass dst 2
speed is 2344.721540, pass dst 2
speed is 2344.753041, pass dst 2
speed is 2344.937049, pass dst 2
speed is 2345.062093, pass dst 2
speed is 2345.324119, pass dst 2
speed is 2345.358942, pass dst 2
speed is 2345.478104, pass dst 2
speed is 2345.497218, pass dst 2
speed is 2345.726447, pass dst 2
speed is 2345.744895, pass dst 2
speed is 2345.762684, pass dst 2
speed is 2346.081252, pass dst 2
speed is 2346.102518, pass dst 2
speed is 2346.122911, pass dst 2
speed is 2346.260164, pass dst 2
speed is 2346.375480, pass dst 2
speed is 2346.537578, pass dst 2
speed is 2346.679788, pass dst 2
speed is 2347.075537, pass dst 2
speed is 2347.119716, pass dst 2
speed is 2347.271257, pass dst 2
speed is 2347.431059, pass dst 2
speed is 2347.589461, pass dst 2
speed is 2347.748743, pass dst 2
speed is 2347.887431, pass dst 2
speed is 2348.214737, pass dst 2
speed is 2348.423683, pass dst 2
speed is 2348.447284, pass dst 2
speed is 2348.618121, pass dst 2
speed is 2348.768525, pass dst 2
speed is 2348.971348, pass dst 2
speed is 2349.174585, pass dst 2
speed is 2350.034177, pass dst 2
speed is 2350.062874, pass dst 2
speed is 2350.393622, pass dst 2
speed is 2350.922530, pass dst 2
speed is 2351.501766, pass dst 2
speed is 2351.860035, pass dst 2
speed is 2352.041893, pass dst 2
speed is 2352.322029, pass dst 2
speed is 2352.730091, pass dst 2
speed is 2353.143488, pass dst 2
speed is 2353.723254, pass dst 2
speed is 2353.955648, pass dst 2
speed is 2354.391870, pass dst 2
speed is 2354.443992, pass dst 2
speed is 2355.342887, pass dst 2
speed is 2355.383685, pass dst 2
speed is 2355.420712, pass dst 2
speed is 2355.493525, pass dst 2
speed is 2355.531758, pass dst 2
speed is 2355.783259, pass dst 2
speed is 2355.820495, pass dst 2
speed is 2356.073267, pass dst 2
speed is 2357.435008, pass dst 2
speed is 2357.895833, pass dst 2
speed is 2358.167256, pass dst 2
speed is 2358.445278, pass dst 2
speed is 2358.723374, pass dst 2
speed is 2358.763300, pass dst 2
speed is 2358.802492, pass dst 2
speed is 2358.888073, pass dst 2
speed is 2359.554806, pass dst 2
speed is 2359.638304, pass dst 2
speed is 2359.723210, pass dst 2
speed is 2360.629170, pass dst 2
speed is 2360.670934, pass dst 2
speed is 2360.759155, pass dst 2
speed is 2360.844684, pass dst 2
speed is 2361.397006, pass dst 2
speed is 2361.912104, pass dst 2
speed is 2361.956156, pass dst 2
speed is 2362.000258, pass dst 2
speed is 2362.309486, pass dst 2
speed is 2362.830974, pass dst 2
speed is 2363.944726, pass dst 2
speed is 2364.219478, pass dst 2
speed is 2364.546884, pass dst 2
speed is 2364.638932, pass dst 2
speed is 2364.689127, pass dst 2
speed is 2364.804445, pass dst 2
speed is 2364.854368, pass dst 2
speed is 2365.183258, pass dst 2
speed is 2365.232214, pass dst 2
speed is 2365.697659, pass dst 2
speed is 2366.033974, pass dst 2
speed is 2366.344873, pass dst 2
speed is 2366.687706, pass dst 2
speed is 2367.055616, pass dst 2
speed is 2367.106527, pass dst 2
speed is 2367.156051, pass dst 2
speed is 2367.204183, pass dst 2
speed is 2367.301548, pass dst 2
speed is 2367.353674, pass dst 2
speed is 2367.889206, pass dst 2
speed is 2367.937552, pass dst 2
speed is 2368.289964, pass dst 2
speed is 2368.588874, pass dst 2
speed is 2369.343112, pass dst 2
speed is 2369.703497, pass dst 2
speed is 2370.324530, pass dst 2
speed is 2370.375621, pass dst 2
speed is 2370.426249, pass dst 2
speed is 2370.798853, pass dst 2
speed is 2371.167691, pass dst 2
speed is 2371.537326, pass dst 2
speed is 2372.118006, pass dst 2
speed is 2372.283061, pass dst 2
speed is 2372.476214, pass dst 2
speed is 2372.531862, pass dst 2
speed is 2372.855100, pass dst 2
speed is 2373.235780, pass dst 2
speed is 2373.618298, pass dst 2
speed is 2374.412293, pass dst 2
speed is 2374.970337, pass dst 2
speed is 2375.026572, pass dst 2
speed is 2375.758045, pass dst 2
speed is 2375.814392, pass dst 2
speed is 2375.876913, pass dst 2
speed is 2376.312962, pass dst 2
speed is 2376.713290, pass dst 2
speed is 2377.173368, pass dst 2
speed is 2377.579241, pass dst 2
speed is 2378.274140, pass dst 2
speed is 2378.395621, pass dst 2
speed is 2379.808545, pass dst 2
speed is 2381.270124, pass dst 2
speed is 2381.631188, pass dst 2
speed is 2381.693440, pass dst 2
speed is 2381.818088, pass dst 2
speed is 2382.005424, pass dst 2
speed is 2382.682011, pass dst 2
speed is 2383.122625, pass dst 2
speed is 2383.526183, pass dst 2
speed is 2383.963918, pass dst 2
speed is 2384.765949, pass dst 2
speed is 2385.148936, pass dst 2
speed is 2385.595673, pass dst 2
speed is 2385.977890, pass dst 2
speed is 2386.434607, pass dst 2
speed is 2386.826863, pass dst 2
speed is 2386.961855, pass dst 2
speed is 2387.487676, pass dst 2
speed is 2387.551765, pass dst 2
speed is 2387.950181, pass dst 2
speed is 2388.014593, pass dst 2
speed is 2388.080998, pass dst 2
speed is 2388.216551, pass dst 2
speed is 2389.014336, pass dst 2
speed is 2389.079484, pass dst 2
speed is 2389.269975, pass dst 2
speed is 2389.809665, pass dst 2
speed is 2390.290346, pass dst 2
speed is 2391.226691, pass dst 2
speed is 2391.296030, pass dst 2
speed is 2392.118311, pass dst 2
speed is 2392.186237, pass dst 2
speed is 2393.011721, pass dst 2
speed is 2393.921844, pass dst 2
speed is 2395.099705, pass dst 2
speed is 2395.530944, pass dst 2
speed is 2395.674148, pass dst 2
speed is 2396.675513, pass dst 2
speed is 2397.799923, pass dst 2
speed is 2398.233971, pass dst 2
speed is 2398.457738, pass dst 2
speed is 2399.370446, pass dst 2
speed is 2399.965032, pass dst 2
speed is 2400.490791, pass dst 2
speed is 2400.563383, pass dst 2
speed is 2401.091075, pass dst 2
speed is 2402.364807, pass dst 2
speed is 2402.442253, pass dst 2
speed is 2402.597289, pass dst 2
speed is 2403.133984, pass dst 2
speed is 2403.751257, pass dst 2
speed is 2403.826571, pass dst 2
speed is 2405.202774, pass dst 2
speed is 2405.278956, pass dst 2
speed is 2405.520709, pass dst 2
speed is 2406.828187, pass dst 2
speed is 2406.904559, pass dst 2
speed is 2407.062824, pass dst 2
speed is 2407.222050, pass dst 2
speed is 2407.692335, pass dst 2
speed is 2407.808173, pass dst 2
speed is 2407.892864, pass dst 2
speed is 2410.151249, pass dst 2
speed is 2410.631799, pass dst 2
speed is 2411.684908, pass dst 2
speed is 2411.764842, pass dst 2
speed is 2411.848809, pass dst 2
speed is 2412.496667, pass dst 2
speed is 2412.576254, pass dst 2
speed is 2412.657491, pass dst 2
speed is 2412.741985, pass dst 2
speed is 2413.231419, pass dst 2
speed is 2413.432047, pass dst 2
speed is 2413.602797, pass dst 2
speed is 2414.537741, pass dst 2
